Season,Date,team
2014,"Thursday, March 20, 2014",ARI
2014,"Friday, March 21, 2014",ARI
2014,"Saturday, March 22, 2014",ARI
2014,"Sunday, March 23, 2014",ARI
2014,"Monday, March 24, 2014",ARI
2014,"Tuesday, March 25, 2014",ARI
2014,"Wednesday, March 26, 2014",ARI
2014,"Thursday, March 27, 2014",ARI
2014,"Friday, March 28, 2014",ARI
2014,"Saturday, March 29, 2014",ARI
2014,"Sunday, March 30, 2014",ARI
2014,"Monday, March 31, 2014",ARI
2014,"Tuesday, April 01, 2014",ARI
2014,"Wednesday, April 02, 2014",ARI
2014,"Thursday, April 03, 2014",ARI
2014,"Friday, April 04, 2014",ARI
2014,"Saturday, April 05, 2014",ARI
2014,"Sunday, April 06, 2014",ARI
2014,"Monday, April 07, 2014",ARI
2014,"Tuesday, April 08, 2014",ARI
2014,"Wednesday, April 09, 2014",ARI
2014,"Thursday, April 10, 2014",ARI
2014,"Friday, April 11, 2014",ARI
2014,"Saturday, April 12, 2014",ARI
2014,"Sunday, April 13, 2014",ARI
2014,"Monday, April 14, 2014",ARI
2014,"Tuesday, April 15, 2014",ARI
2014,"Wednesday, April 16, 2014",ARI
2014,"Thursday, April 17, 2014",ARI
2014,"Friday, April 18, 2014",ARI
2014,"Saturday, April 19, 2014",ARI
2014,"Sunday, April 20, 2014",ARI
2014,"Monday, April 21, 2014",ARI
2014,"Tuesday, April 22, 2014",ARI
2014,"Wednesday, April 23, 2014",ARI
2014,"Thursday, April 24, 2014",ARI
2014,"Friday, April 25, 2014",ARI
2014,"Saturday, April 26, 2014",ARI
2014,"Sunday, April 27, 2014",ARI
2014,"Monday, April 28, 2014",ARI
2014,"Tuesday, April 29, 2014",ARI
2014,"Wednesday, April 30, 2014",ARI
2014,"Thursday, May 01, 2014",ARI
2014,"Friday, May 02, 2014",ARI
2014,"Saturday, May 03, 2014",ARI
2014,"Sunday, May 04, 2014",ARI
2014,"Monday, May 05, 2014",ARI
2014,"Tuesday, May 06, 2014",ARI
2014,"Wednesday, May 07, 2014",ARI
2014,"Thursday, May 08, 2014",ARI
2014,"Friday, May 09, 2014",ARI
2014,"Saturday, May 10, 2014",ARI
2014,"Sunday, May 11, 2014",ARI
2014,"Monday, May 12, 2014",ARI
2014,"Tuesday, May 13, 2014",ARI
2014,"Wednesday, May 14, 2014",ARI
2014,"Thursday, May 15, 2014",ARI
2014,"Friday, May 16, 2014",ARI
2014,"Saturday, May 17, 2014",ARI
2014,"Sunday, May 18, 2014",ARI
