Season,Team,Mgr,Yrs,Prior Seasons Managed,From,To,W,L,W-L%,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Plyof App,Prior Playoff,Playoffs,WSwon,PennWon,ASG,playoff per season,career playoffs per season
2014,ARI,Kirk Gibson,5,4,2010,2014,353,375,0.485,-22,728,2,3,0.4,1,5,3,1,1,N,0,0,0,0.25,0.2
2013,ARI,Kirk Gibson,5,3,2010,2014,353,375,0.485,-22,728,2,3,0.4,1,5,3,1,1,N,0,0,0,0.333333333,0.2
2012,ARI,Kirk Gibson,5,2,2010,2014,353,375,0.485,-22,728,2,3,0.4,1,5,3,1,1,N,0,0,0,0.5,0.2
2011,ARI,Kirk Gibson,5,1,2010,2014,353,375,0.485,-22,728,2,3,0.4,1,5,3,1,0,Y,0,0,0,0,0.2
2010,ARI,Kirk Gibson,5,0,2010,2014,353,375,0.485,-22,728,2,3,0.4,1,5,3,1,0,N,0,0,0,0,0.2
2009,ARI,A.J. Hinch,2,0,2009,2010,89,123,0.42,-34,212,0,0,,5,5,5,0,0,N,0,0,0,0,0
2008,ARI,Bob Melvin,11,5,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,1,N,0,0,0,0.2,0.363636364
2007,ARI,Bob Melvin,11,4,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,0,Y,0,0,0,0,0.363636364
2006,ARI,Bob Melvin,11,3,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,0,N,0,0,0,0,0.363636364
2005,ARI,Bob Melvin,11,2,2003,2014,818,768,0.516,50,1586,7,11,0.389,1,4,2.2,4,0,N,0,0,0,0,0.363636364
2004,ARI,Al Pedrique,1,0,2004,2004,22,61,0.265,-39,83,0,0,,5,5,5,0,0,N,0,0,0,0,0
2014,ATL,Fredi Gonzalez,8,7,2007,2014,634,569,0.527,65,1203,1,4,0.2,1,5,2.5,2,2,N,0,0,0,0.285714286,0.25
2013,ATL,Fredi Gonzalez,8,6,2007,2014,634,569,0.527,65,1203,1,4,0.2,1,5,2.5,2,1,Y,0,0,0,0.166666667,0.25
2012,ATL,Fredi Gonzalez,8,5,2007,2014,634,569,0.527,65,1203,1,4,0.2,1,5,2.5,2,0,Y,0,0,0,0,0.25
2011,ATL,Fredi Gonzalez,8,4,2007,2014,634,569,0.527,65,1203,1,4,0.2,1,5,2.5,2,0,N,0,0,0,0,0.25
2010,ATL,Bobby Cox HOF,29,28,1978,2010,2504,2001,0.556,503,4508,67,69,0.493,1,6,2.4,16,15,Y,1,5,5,0.535714286,0.551724138
2009,ATL,Bobby Cox HOF,29,27,1978,2010,2504,2001,0.556,503,4508,67,69,0.493,1,6,2.4,16,15,N,1,5,5,0.555555556,0.551724138
2008,ATL,Bobby Cox HOF,29,26,1978,2010,2504,2001,0.556,503,4508,67,69,0.493,1,6,2.4,16,15,N,1,5,5,0.576923077,0.551724138
2007,ATL,Bobby Cox HOF,29,25,1978,2010,2504,2001,0.556,503,4508,67,69,0.493,1,6,2.4,16,15,N,1,5,5,0.6,0.551724138
2006,ATL,Bobby Cox HOF,29,24,1978,2010,2504,2001,0.556,503,4508,67,69,0.493,1,6,2.4,16,15,N,1,5,5,0.625,0.551724138
2005,ATL,Bobby Cox HOF,29,23,1978,2010,2504,2001,0.556,503,4508,67,69,0.493,1,6,2.4,16,14,Y,1,5,5,0.608695652,0.551724138
2004,ATL,Bobby Cox HOF,29,22,1978,2010,2504,2001,0.556,503,4508,67,69,0.493,1,6,2.4,16,13,Y,1,5,5,0.590909091,0.551724138
2014,BAL,Buck Showalter,16,15,1992,2014,1259,1161,0.52,98,2421,9,13,0.409,1,5,2.9,4,3,Y,0,0,1,0.2,0.25
2013,BAL,Buck Showalter,16,14,1992,2014,1259,1161,0.52,98,2421,9,13,0.409,1,5,2.9,4,3,N,0,0,1,0.214285714,0.25
2012,BAL,Buck Showalter,16,13,1992,2014,1259,1161,0.52,98,2421,9,13,0.409,1,5,2.9,4,2,Y,0,0,1,0.153846154,0.25
2011,BAL,Buck Showalter,16,12,1992,2014,1259,1161,0.52,98,2421,9,13,0.409,1,5,2.9,4,2,N,0,0,1,0.166666667,0.25
2010,BAL,Buck Showalter,16,11,1992,2014,1259,1161,0.52,98,2421,9,13,0.409,1,5,2.9,4,2,N,0,0,1,0.181818182,0.25
2009,BAL,Dave Trembley,4,2,2007,2010,187,283,0.398,-96,470,0,0,,4,5,4.8,0,0,N,0,0,0,0,0
2008,BAL,Dave Trembley,4,1,2007,2010,187,283,0.398,-96,470,0,0,,4,5,4.8,0,0,N,0,0,0,0,0
2007,BAL,Dave Trembley,4,0,2007,2010,187,283,0.398,-96,470,0,0,,4,5,4.8,0,0,N,0,0,0,0,0
2006,BAL,Sam Perlozzo,3,1,2005,2007,122,164,0.427,-42,286,0,0,,4,5,4.2,0,0,N,0,0,0,0,0
2005,BAL,Sam Perlozzo,3,0,2005,2007,122,164,0.427,-42,286,0,0,,4,5,4.2,0,0,N,0,0,0,0,0
2004,BAL,Lee Mazzilli,2,0,2004,2005,129,140,0.48,-11,269,0,0,,3,4,3.4,0,0,N,0,0,0,0,0
2014,BOS,John Farrell,4,3,2011,2014,322,326,0.497,-4,648,11,5,0.688,1,5,3.5,1,1,N,1,1,0,0.333333333,0.25
2013,BOS,John Farrell,4,2,2011,2014,322,326,0.497,-4,648,11,5,0.688,1,5,3.5,1,0,Y,1,1,0,0,0.25
2012,BOS,Bobby Valentine,16,15,1985,2012,1186,1165,0.504,21,2351,13,11,0.542,2,7,3.7,2,2,N,0,1,1,0.133333333,0.125
2011,BOS,Terry Francona,14,11,1997,2014,1206,1062,0.532,144,2268,28,18,0.609,1,5,2.8,6,5,N,2,2,2,0.454545455,0.428571429
2010,BOS,Terry Francona,14,10,1997,2014,1206,1062,0.532,144,2268,28,18,0.609,1,5,2.8,6,5,N,2,2,2,0.5,0.428571429
2009,BOS,Terry Francona,14,9,1997,2014,1206,1062,0.532,144,2268,28,18,0.609,1,5,2.8,6,4,Y,2,2,2,0.444444444,0.428571429
2008,BOS,Terry Francona,14,8,1997,2014,1206,1062,0.532,144,2268,28,18,0.609,1,5,2.8,6,3,Y,2,2,2,0.375,0.428571429
2007,BOS,Terry Francona,14,7,1997,2014,1206,1062,0.532,144,2268,28,18,0.609,1,5,2.8,6,2,Y,2,2,2,0.285714286,0.428571429
2006,BOS,Terry Francona,14,6,1997,2014,1206,1062,0.532,144,2268,28,18,0.609,1,5,2.8,6,2,N,2,2,2,0.333333333,0.428571429
2005,BOS,Terry Francona,14,5,1997,2014,1206,1062,0.532,144,2268,28,18,0.609,1,5,2.8,6,1,Y,2,2,2,0.2,0.428571429
2004,BOS,Terry Francona,14,4,1997,2014,1206,1062,0.532,144,2268,28,18,0.609,1,5,2.8,6,0,Y,2,2,2,0,0.428571429
2014,CHC,Rick Renteria,1,0,2014,2014,73,89,0.451,-16,162,0,0,,5,5,5,0,0,N,0,0,0,0,0
2013,CHC,Dale Sveum,3,2,2008,2013,134,202,0.399,-68,336,1,3,0.25,2,5,4.9,1,1,N,0,0,0,0.5,0.333333333
2012,CHC,Dale Sveum,3,1,2008,2013,134,202,0.399,-68,336,1,3,0.25,2,5,4.9,1,1,N,0,0,0,1,0.333333333
2011,CHC,Mike Quade,2,1,2010,2011,95,104,0.477,-9,199,0,0,,5,5,5,0,0,N,0,0,0,0,0
2010,CHC,Mike Quade,2,0,2010,2011,95,104,0.477,-9,199,0,0,,5,5,5,0,0,N,0,0,0,0,0
2009,CHC,Lou Piniella,23,21,1986,2010,1835,1713,0.517,122,3548,23,27,0.46,1,5,2.8,7,7,N,1,1,1,0.333333333,0.304347826
2008,CHC,Lou Piniella,23,20,1986,2010,1835,1713,0.517,122,3548,23,27,0.46,1,5,2.8,7,6,Y,1,1,1,0.3,0.304347826
2007,CHC,Lou Piniella,23,19,1986,2010,1835,1713,0.517,122,3548,23,27,0.46,1,5,2.8,7,5,Y,1,1,1,0.263157895,0.304347826
