Season,Tm,NumBat,BatAge,PerBat,NumP,PAge,PerP,AvgAge
2014,ARI,52,27.6,0.675324675,25,28,0.324675325,27.72987013
2014,ATL,39,26.8,0.661016949,20,27.3,0.338983051,26.96949153
2014,BAL,44,28.3,0.6875,20,27.7,0.3125,28.1125
2014,BOS,55,29.2,0.6875,25,29.9,0.3125,29.41875
2014,CHC,48,26.8,0.64,27,28,0.36,27.232
2014,CHW,44,27.7,0.628571429,26,27.4,0.371428571,27.58857143
2014,CIN,45,28.9,0.642857143,25,28,0.357142857,28.57857143
2014,CLE,46,28.5,0.676470588,22,27.2,0.323529412,28.07941176
2014,COL,49,27.4,0.653333333,26,28.5,0.346666667,27.78133333
2014,DET,48,29.7,0.615384615,30,28.5,0.384615385,29.23846154
2014,HOU,48,25.7,0.631578947,28,27.9,0.368421053,26.51052632
2014,KCR,48,28.2,0.676056338,23,28.9,0.323943662,28.42676056
2014,LAA,54,29.3,0.635294118,31,28.4,0.364705882,28.97176471
2014,LAD,49,29.4,0.662162162,25,29.9,0.337837838,29.56891892
2014,MIA,45,27.4,0.642857143,25,26.4,0.357142857,27.04285714
2014,MIL,40,28.8,0.655737705,21,29,0.344262295,28.86885246
2014,MIN,48,27.6,0.676056338,23,29.2,0.323943662,28.11830986
2014,NYM,45,28.4,0.671641791,22,28.9,0.328358209,28.5641791
2014,NYY,58,32.5,0.637362637,33,29.3,0.362637363,31.33956044
2014,OAK,45,29.5,0.671641791,22,28.2,0.328358209,29.07313433
2014,PHI,49,30.7,0.653333333,26,30.1,0.346666667,30.492
2014,PIT,45,27.3,0.661764706,23,28.1,0.338235294,27.57058824
2014,SDP,51,27.9,0.68,24,28.8,0.32,28.188
2014,SEA,44,27.6,0.6875,20,29,0.3125,28.0375
2014,SFG,46,28.6,0.686567164,21,31.7,0.313432836,29.57164179
2014,STL,46,28.5,0.657142857,24,27.2,0.342857143,28.05428571
2014,TBR,43,29.3,0.651515152,23,28.4,0.348484848,28.98636364
2014,TEX,64,28.4,0.615384615,40,27.9,0.384615385,28.20769231
2014,TOR,55,29.2,0.670731707,27,29.6,0.329268293,29.33170732
2014,WSN,40,28.7,0.689655172,18,28.3,0.310344828,28.57586207
2013,ARI,44,28.2,0.656716418,23,27.6,0.343283582,27.99402985
2013,ATL,44,26.8,0.676923077,21,27.2,0.323076923,26.92923077
2013,BAL,52,27.7,0.666666667,26,27.9,0.333333333,27.76666667
2013,BOS,48,29.6,0.648648649,26,30.2,0.351351351,29.81081081
2013,CHC,56,27.9,0.643678161,31,28.7,0.356321839,28.18505747
2013,CHW,47,29.1,0.661971831,24,27.1,0.338028169,28.42394366
2013,CIN,39,28.5,0.661016949,20,27.7,0.338983051,28.22881356
2013,CLE,49,28.5,0.636363636,28,27.5,0.363636364,28.13636364
2013,COL,43,27.7,0.651515152,23,28.3,0.348484848,27.90909091
2013,DET,39,29.9,0.661016949,20,28.4,0.338983051,29.39152542
2013,HOU,50,25.9,0.657894737,26,27.2,0.342105263,26.34473684
2013,KCR,43,27,0.682539683,20,28.9,0.317460317,27.6031746
2013,LAA,49,27.9,0.653333333,26,29.1,0.346666667,28.316
2013,LAD,49,30.6,0.644736842,27,28.1,0.355263158,29.71184211
2013,MIA,53,27.7,0.670886076,26,26,0.329113924,27.14050633
2013,MIL,40,27.9,0.655737705,21,28.8,0.344262295,28.20983607
2013,MIN,44,28.3,0.656716418,23,28.3,0.343283582,28.3
2013,NYM,53,28.3,0.646341463,29,29.1,0.353658537,28.58292683
2013,NYY,56,31.8,0.7,24,31.8,0.3,31.8
2013,OAK,44,28.3,0.709677419,18,28.3,0.290322581,28.3
2013,PHI,51,30,0.653846154,27,28.7,0.346153846,29.55
2013,PIT,49,27.9,0.636363636,28,28.7,0.363636364,28.19090909
2013,SDP,47,28.1,0.671428571,23,28.8,0.328571429,28.33
2013,SEA,47,28.6,0.68115942,22,28,0.31884058,28.40869565
2013,SFG,44,28.7,0.676923077,21,29.6,0.323076923,28.99076923
2013,STL,44,28.6,0.637681159,25,26.9,0.362318841,27.98405797
2013,TBR,42,29.6,0.666666667,21,29,0.333333333,29.4
